state,shape,Number of Shapes Per State
la,sphere,44
la,fireball,39
la,oval,30
la,disk,27
la,formation,17
la,changing,15
la,cigar,15
la,teardrop,9
la,cylinder,8
la,rectangle,8
la,flash,6
la,chevron,5
la,diamond,5
la,egg,2
ma,light,236
ma,other,190
ma,triangle,128
ma,circle,117
ma,sphere,90
ma,fireball,86
ma,disk,83
ma,oval,82
ma,cigar,31
ma,formation,27
ma,changing,26
ma,cylinder,22
ma,diamond,22
ma,rectangle,22
ma,flash,18
ma,chevron,14
ma,egg,13
ma,teardrop,10
ma,cone,5
ma,cross,2
md,light,160
md,other,117
md,triangle,88
md,circle,82
md,sphere,65
md,disk,60
md,fireball,47
md,oval,42
md,cigar,30
md,formation,29
md,changing,21
md,flash,19
md,cylinder,12
md,rectangle,12
md,diamond,11
md,chevron,7
md,teardrop,7
md,egg,5
me,light,126
me,circle,66
me,other,60
me,triangle,59
me,sphere,44
me,fireball,42
me,oval,34
me,disk,31
me,cigar,12
me,formation,11
me,diamond,9
me,flash,9
me,changing,8
me,cylinder,8
me,rectangle,8
me,cross,5
me,teardrop,5
me,chevron,2
me,egg,2
mi,light,372
mi,other,237
mi,triangle,217
mi,fireball,170
mi,circle,149
mi,disk,134
mi,sphere,115
mi,oval,78
mi,formation,57
mi,cigar,40
mi,rectangle,35
mi,changing,33
mi,diamond,27
mi,flash,27
mi,cylinder,26
mi,teardrop,19
mi,egg,15
mi,cone,10
mi,chevron,9
mi,cross,2
mn,light,215
mn,other,137
mn,triangle,123
mn,circle,95
mn,sphere,66
mn,fireball,61
mn,disk,54
mn,formation,48
mn,oval,42
mn,cigar,25
mn,rectangle,22
mn,changing,18
mn,flash,18
mn,chevron,17
mn,diamond,16
mn,teardrop,11
mn,cylinder,9
mn,egg,8
mn,cross,4
mo,light,301
mo,other,213
mo,triangle,177
mo,fireball,125
mo,circle,104
mo,sphere,102
mo,disk,91
mo,oval,56
mo,cigar,52
mo,cylinder,36
mo,changing,28
mo,chevron,28
mo,formation,24
mo,diamond,22
mo,rectangle,19
mo,flash,15
mo,teardrop,12
mo,egg,8
mo,cone,5
mo,cross,4
ms,light,67
ms,other,60
ms,triangle,46
ms,circle,40
ms,disk,28
ms,fireball,22
ms,sphere,22
ms,oval,15
ms,cigar,11
ms,cylinder,11
ms,flash,9
ms,changing,6
ms,rectangle,6
ms,chevron,4
ms,diamond,4
ms,formation,4
ms,teardrop,4
ms,egg,3
ms,cone,1
mt,light,109
mt,other,67
mt,fireball,54
