,city,state,shape,month,day,year,time,latitude,longitude ,duration (seconds),Airport Name,Airport Lat,Airport Lng
64384,seattle,wa,fireball,8,10,2012,2:00,47.6063889,-122.33083329999998,120,Port of Seattle,47.6138103,-122.3542749
64398,san diego,ca,other,8,10,2012,22:00,32.7152778,-117.1563889,5,San Diego International Airport,32.7338006,-117.1933038
64698,seattle,wa,chevron,8,11,2012,22:00,47.6063889,-122.33083329999998,5,Port of Seattle,47.6138103,-122.3542749
64703,san diego,ca,circle,8,11,2012,22:30,32.7152778,-117.1563889,600,San Diego International Airport,32.7338006,-117.1933038
65826,las vegas,nv,circle,8,13,2012,13:00,36.175,-115.1363889,600.0,Valley Hospital Medical Center Heliport,36.16337719999999,-115.1665905
66820,phoenix,az,light,8,15,2012,2:30,33.4483333,-112.07333329999999,600.0,Phoenix Mesa,33.44812590000001,-112.0740731
67294,las vegas,nv,triangle,8,17,2012,8:15,36.175,-115.1363889,120.0,Valley Hospital Medical Center Heliport,36.16337719999999,-115.1665905
67319,houston,tx,other,8,17,2012,23:20,29.763055600000005,-95.3630556,120.0,Yellow Cab Houston,29.7895795,-95.35374739999999
68679,los angeles,ca,light,8,2,2012,4:45,34.0522222,-118.2427778,1.0,Los Angeles County Mens Detention Center - Main Jail Heliport,34.0602889,-118.2304514
68681,chicago,il,cigar,8,2,2012,15:00,41.85,-87.65,300.0,helipad,41.8624053,-87.666196
69139,chicago,il,fireball,8,23,2012,20:45,41.85,-87.65,30.0,helipad,41.8624053,-87.666196
70101,san diego,ca,light,8,27,2012,20:25,32.7152778,-117.1563889,900.0,San Diego International Airport,32.7338006,-117.1933038
70328,miami,fl,fireball,8,28,2012,1:56,25.7738889,-80.1938889,5.0,Ferrari Express,25.7750635,-80.19280119999999
70333,houston,tx,cylinder,8,28,2012,20:00,29.763055600000005,-95.3630556,60.0,Yellow Cab Houston,29.7895795,-95.35374739999999
70992,houston,tx,disk,8,31,2012,6:40,29.763055600000005,-95.3630556,1200.0,Yellow Cab Houston,29.7895795,-95.35374739999999
71240,seattle,wa,light,8,3,2012,21:30,47.6063889,-122.33083329999998,2.0,Port of Seattle,47.6138103,-122.3542749
71719,phoenix,az,other,8,5,2012,2:00,33.4483333,-112.07333329999999,10800.0,Phoenix Mesa,33.44812590000001,-112.0740731
71730,seattle,wa,circle,8,5,2012,22:00,47.6063889,-122.33083329999998,1800.0,Port of Seattle,47.6138103,-122.3542749
