,city,state,shape,month,day,year,time,latitude,longitude ,duration (seconds),Airport Name,Airport Lat,Airport Lng
39243,miami,fl,chevron,4,26,2012,21:00,25.7738889,-80.1938889,15,Ferrari Express,25.7750635,-80.19280119999999
39395,las vegas,nv,oval,4,27,2012,20:26,36.175,-115.1363889,60,Valley Hospital Medical Center Heliport,36.16337719999999,-115.1665905
40080,miami,fl,unknown,4,3,2012,17:45,25.7738889,-80.1938889,120,Ferrari Express,25.7750635,-80.19280119999999
40573,seattle,wa,unknown,4,6,2012,16:30,47.6063889,-122.33083329999998,300,Port of Seattle,47.6138103,-122.3542749
40757,portland,or,unknown,4,7,2012,1:55,45.5236111,-122.675,60,PGE Service Center Heliport,45.4958241,-122.6478189
40919,miami,fl,circle,4,8,2012,20:25,25.7738889,-80.1938889,20,Ferrari Express,25.7750635,-80.19280119999999
40922,seattle,wa,sphere,4,8,2012,21:30,47.6063889,-122.33083329999998,300,Port of Seattle,47.6138103,-122.3542749
40923,seattle,wa,fireball,4,8,2012,21:40,47.6063889,-122.33083329999998,60,Port of Seattle,47.6138103,-122.3542749
41100,san diego,ca,sphere,4,9,2012,20:50,32.7152778,-117.1563889,60,San Diego International Airport,32.7338006,-117.1933038
41304,miami,fl,fireball,5,10,2012,10:51,25.7738889,-80.1938889,60,Ferrari Express,25.7750635,-80.19280119999999
41986,san diego,ca,changing,5,12,2012,23:00,32.7152778,-117.1563889,60,San Diego International Airport,32.7338006,-117.1933038
42131,chicago,il,unknown,5,13,2012,20:50,41.85,-87.65,300,helipad,41.8624053,-87.666196
42140,seattle,wa,light,5,13,2012,23:00,47.6063889,-122.33083329999998,120,Port of Seattle,47.6138103,-122.3542749
42272,portland,or,light,5,14,2012,21:35,45.5236111,-122.675,180,PGE Service Center Heliport,45.4958241,-122.6478189
43251,chicago,il,other,5,19,2012,21:15,41.85,-87.65,7,helipad,41.8624053,-87.666196
43636,tucson,az,light,5,21,2012,0:50,32.2216667,-110.9258333,20,Helipad 1,32.2419859,-110.9464129
44066,chicago,il,circle,5,23,2012,21:37,41.85,-87.65,5,helipad,41.8624053,-87.666196
